Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS2,8,,1,127 abovew,42.147,-18.037,-0.253,bd    ,0,1.279,-17.09522446,0
DFSS2,8,,2,126 waterline,41.947,-18.537,-0.465,bd    ,1,1.067,-16.60048375,0.494740712
DFSS2,8,,3,125,39.579,-20.742,-0.502,bd    ,1,1.03,-13.36675941,3.728465055
DFSS2,8,,4,124,38.152,-22.505,-0.497,bd    ,1,1.035,-11.11135193,5.983872535
DFSS2,8,,5,123,35.705,-25.24,-0.605,bd    ,1,0.927,-7.447351196,9.647873265
DFSS2,8,,6,122,34.504,-27.214,-0.821,bd    ,1,0.711,-5.202890786,11.89233368
DFSS2,8,,7,121,33.923,-28.141,-0.675,bd    ,1,0.857,-4.136843981,12.95838048
DFSS2,8,,8,120,32.875,-29.888,-0.94,bd    ,1,0.592,-2.161026329,14.93419813
DFSS2,8,,9,119,32.311,-30.964,-1.225,cb    ,1,0.307,-1.001770819,16.09345364
DFSS2,8,,10,118,31.365,-32.373,-1.522,bd    ,1,0.01,0.663103909,17.75832837
DFSS2,8,,11,117,30.725,-33.545,-1.532,bd    ,1,0,1.943966129,19.03919059
DFSS2,8,,12,116,30.349,-33.776,-1.102,bd    ,1,0.43,2.373292656,19.46851712
DFSS2,8,,13,115,29.844,-34.808,-1.25,bd    ,1,0.282,3.459704525,20.55492899
DFSS2,8,,14,114,28.599,-35.779,-1.07,bd    ,1,0.462,5.026865679,22.12209014
DFSS2,8,,15,113,27.802,-37.507,-1.111,bd    ,1,0.421,6.81158386,23.90680832
DFSS2,8,,16,112,27.286,-38.368,-0.767,bd    ,1,0.765,7.785000512,24.88022497
DFSS2,8,,17,111,26.268,-39.771,-0.993,bd    ,1,0.539,9.496605031,26.59182949
DFSS2,8,,18,110,26.091,-39.978,-1.233,bd    ,1,0.299,9.768110496,26.86333496
DFSS2,8,,19,109,25.17,-41.326,-1.208,bd    ,1,0.324,11.37220213,28.46742659
DFSS2,8,,20,108 waterline,22.417,-44.056,-0.484,cb    ,1,1.048,15.24928417,32.34450864
DFSS2,8,,21,106 abovew,18.743,-47.464,0.101,cb    ,0,1.633,20.2572186,37.35244306
DFSS2,8,,22,105 waterline,15.675,-45.129,0.376,cb    ,0,1.908,20.77973712,37.87496158
