Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_X,Normalized_Z,Water,X_adj,Position
DFC,7,DFC_7,1,x62,-0.435,-6.061,0.003,c4    ,0,0,3.029,0.976,-5.38999112798454,0
DFC,7,DFC_7,2,x63,2.754,-2.657,-0.323,c4    ,0,3.404,2.703,0.976,0.0804847813138085,5.47047590929834
DFC,7,DFC_7,3,x64,3.915,-0.951,-0.59,c4    ,0,5.11,2.436,0.976,2.45934940014565,7.84934052813019
DFC,7,DFC_7,4,x65,4.489,-0.334,-1.202,c3    ,0,5.727,1.824,0.976,3.44756975627705,8.83756088426159
DFC,7,DFC_7,5,x66,5.229,0.605,-1.629,c3    ,0,6.666,1.397,0.976,4.84070323901813,10.2306943670027
DFC,7,DFC_7,6,x67,5.262,0.668,-1.698,c2    ,0,6.729,1.328,0.976,4.92035828031839,10.3103494083029
DFC,7,DFC_7,7,x68waterline,5.381,1.059,-2.05,c2    ,1,7.12,0.976,0.976,5.34352568722605,10.7335168152106
DFC,7,DFC_7,8,x69,8.56,4.396,-2.375,c2    ,1,10.457,0.651,0.976,10.7501116154815,16.140102743466
DFC,7,DFC_7,9,x70,8.721,4.629,-2.501,c1    ,1,10.69,0.525,0.976,11.077029180818,16.4670203088025
DFC,7,DFC_7,10,x71,9.92,6,-2.587,c1    ,1,12.061,0.439,0.976,13.2094610156271,18.5994521436117
DFC,7,DFC_7,11,x72,11.594,7.218,-2.549,c1    ,1,13.279,0.477,0.976,15.6090691347976,20.9990602627821
DFC,7,DFC_7,12,x73,13.389,8.944,-2.626,c1    ,1,15.005,0.4,0.976,18.5305837224875,23.920574850472
DFC,7,DFC_7,13,x74,15.328,10.829,-2.811,c1    ,1,16.89,0.215,0.976,21.7035095342813,27.0935006622659
DFC,7,DFC_7,14,x75,16.648,12.668,-2.715,c1    ,1,18.729,0.311,0.976,24.3246582370681,29.7146493650527
DFC,7,DFC_7,15,x76,18.583,15.303,-3.026,c1    ,1,21.364,0,0.976,28.1165700989661,33.5065612269507
DFC,7,DFC_7,16,x77,19.203,15.881,-2.857,cob    ,1,21.942,0.169,0.976,29.1105986351923,34.5005897631769
DFC,7,DFC_7,17,x78,21.301,17.563,-2.403,cob    ,1,23.624,0.623,0.976,32.2470158863902,37.6370070143748
DFC,7,DFC_7,18,x79waterline,24.422,19.62,-2.059,cob    ,1,25.681,0.967,0.976,36.5434096765232,41.9334008045078
DFC,7,DFC_7,19,x80,26.729,21.867,-0.631,cob    ,0,27.928,2.395,0.976,40.3220456982045,45.712036826189
DFC,7,DFC_7,20,x81,28.56,22.933,0.482,cob    ,0,28.994,3.508,0.976,42.7258025174427,48.1157936454272
