Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_X,Normalized_Z,Water,X_adj,Position
DFC,1,DFC_1,1,y86,-74.11,43.233,0.166,c4    ,0,0,2.118,0.616,-18.2856346590736,0
DFC,1,DFC_1,2,y85,-73.252,45.136,-0.112,c4    ,0,1.90300000000001,1.84,0.616,-16.3036601091235,1.9819745499501
DFC,1,DFC_1,3,y84,-73.416,45.445,-0.439,c4    ,0,2.212,1.513,0.616,-16.1870014433128,2.09863321576086
DFC,1,DFC_1,4,y83,-72.421,47.235,-0.916,c3    ,0,4.002,1.036,0.616,-14.1955880118453,4.09004664722828
DFC,1,DFC_1,5,y82waterline,-71.371,49.935,-1.336,c3    ,1,6.70200000000001,0.616,0.616,-11.4967277527791,6.78890690629449
DFC,1,DFC_1,6,y81,-69.643,51.635,-1.417,c3    ,1,8.402,0.535,0.616,-9.07579960609674,9.20983505297688
DFC,1,DFC_1,7,y80,-65.594,51.901,-1.547,c2    ,1,8.66800000000001,0.405,0.616,-6.14113028521344,12.1445043738602
DFC,1,DFC_1,8,y79,-64.379,53.604,-1.597,c2    ,1,10.371,0.355,0.616,-4.06498675844261,14.220647900631
DFC,1,DFC_1,9,y78,-62.292,55.748,-1.59,c2    ,1,12.515,0.362,0.616,-1.07420979943928,17.2114248596343
DFC,1,DFC_1,10,y77,-60.208,58.098,-1.761,c2    ,1,14.865,0.191,0.616,2.06626368108908,20.3518983401627
DFC,1,DFC_1,11,y76,-58.36,59.939,-1.916,c2    ,1,16.706,0.036,0.616,4.6722111706029,22.9578458296765
DFC,1,DFC_1,12,y75,-56.588,61.695,-1.952,c1    ,1,18.462,0,0.616,7.16414683341809,25.4497814924917
DFC,1,DFC_1,13,y74,-55.25,64.076,-1.911,c1    ,1,20.843,0.0409999999999999,0.616,9.8228569461353,28.1084916052089
DFC,1,DFC_1,14,y73,-53.866,65.966,-1.848,c1    ,1,22.733,0.104,0.616,12.1510440152147,30.4366786742883
DFC,1,DFC_1,15,y72waterline,-53.442,67.038,-1.471,cob    ,1,23.805,0.481,0.616,13.2274014655166,31.5130361245903
DFC,1,DFC_1,16,y71,-52.434,69.542,-1.071,cob    ,0,26.309,0.881,0.616,15.7534924403463,34.0391270994199
DFC,1,DFC_1,17,y70,-49.548,72.165,-0.377,cob    ,0,28.932,1.575,0.616,19.6375137277279,37.9231483868016
