Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS,2,DFSS_2,1,xs2-1,-47.86,16.264,-0.403,br    ,0,0.749,-16.264,0
DFSS,2,DFSS_2,2,xs2-2,-48.737,13.832,-0.564,br    ,1,0.588,-13.832,2.432
DFSS,2,DFSS_2,3,xs2-3,-49.131,12.124,-0.717,br    ,1,0.435,-12.124,4.14
DFSS,2,DFSS_2,4,xs2-4,-49.787,10.364,-0.941,br    ,1,0.211,-10.364,5.9
DFSS,2,DFSS_2,5,xs2-5,-50.458,8.728,-0.9,cw    ,1,0.252,-8.728,7.536
DFSS,2,DFSS_2,6,xs2-6,-51.023,6.768,-0.932,cw    ,1,0.22,-6.768,9.496
DFSS,2,DFSS_2,7,xs2-7,-51.816,4.733,-0.985,cw    ,1,0.167,-4.733,11.531
DFSS,2,DFSS_2,8,xs2-8,-52.595,2.844,-0.776,cw    ,1,0.376,-2.844,13.42
DFSS,2,DFSS_2,9,xs2-9,-53.091,1.258,-1.152,cw    ,1,0,-1.258,15.006
DFSS,2,DFSS_2,10,xs2-10,-54.147,-0.504,-0.992,cw    ,1,0.16,0.504,16.768
DFSS,2,DFSS_2,11,xs2-11,-54.907,-2.591,-0.92,cw    ,1,0.232,2.591,18.855
DFSS,2,DFSS_2,12,xs2-12,-55.199,-4.258,-0.716,br    ,1,0.436,4.258,20.522
DFSS,2,DFSS_2,13,xs2-13,-55.584,-5.566,-0.966,cw    ,1,0.186,5.566,21.83
DFSS,2,DFSS_2,14,xs2-14,-56.266,-7.492,-0.929,br    ,1,0.223,7.492,23.756
DFSS,2,DFSS_2,15,xs2-15,-56.936,-9.476,-0.816,cw    ,1,0.336,9.476,25.74
DFSS,2,DFSS_2,16,xs2-16,-57.497,-11.267,-0.936,cw    ,1,0.216,11.267,27.531
DFSS,2,DFSS_2,17,xs2-17,-58.148,-12.523,-0.733,br    ,1,0.419,12.523,28.787
DFSS,2,DFSS_2,18,xs2-18,-58.763,-14.547,-0.622,br    ,1,0.53,14.547,30.811
DFSS,2,DFSS_2,19,xs2-21,-59.521,-17.153,-0.674,br    ,1,0.478,17.153,33.417
DFSS,2,DFSS_2,20,xs2-22,-59.183,-19.462,-0.753,br    ,1,0.399,19.462,35.726
DFSS,2,DFSS_2,21,xs2-23,-59.295,-20.836,-0.493,br    ,1,0.659,20.836,37.1
DFSS,2,DFSS_2,22,xs2-24,-59.431,-22.562,-0.493,br    ,1,0.659,22.562,38.826
DFSS,2,DFSS_2,23,xs2-25,-59.791,-24.922,-0.43,br    ,0,0.722,24.922,41.186
DFSS,2,DFSS_2,24,xs2-26,-59.995,-30.018,0.252,br    ,0,1.404,30.018,46.282
