Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_X,Normalized_Z,Water,X_adj,Position
DFC,9,DFC_9,1,x1,20.708,-27.07,0.079,c4    ,0,0,3.237,0.774,6.178691305,0
DFC,9,DFC_9,2,x2,22.351,-25.87,0.027,c4    ,0,1.2,3.185,0.774,8.187236968,2.008545662
DFC,9,DFC_9,3,x3,24.358,-23.304,-0.435,c4    ,0,3.766,2.723,0.774,11.13971855,4.961027244
DFC,9,DFC_9,4,x4,24.742,-23.222,-0.756,c4    ,0,3.848,2.402,0.774,11.51914435,5.34045304
DFC,9,DFC_9,5,x5,25.016,-22.945,-1.158,c3    ,0,4.125,2,0.774,11.88897245,5.710281144
DFC,9,DFC_9,6,x6,25.536,-22.517,-1.288,c3    ,0,4.553,1.87,0.774,12.54652892,6.367837616
DFC,9,DFC_9,7,x7,25.975,-22.305,-1.452,c3    ,0,4.765,1.706,0.774,13.03393206,6.855240758
DFC,9,DFC_9,8,x8,26.167,-21.778,-2.223,c3    ,0,5.292,0.935,0.774,13.44406145,7.265370146
DFC,9,DFC_9,9,x9,26.159,-21.771,-2.223,c2    ,0,5.299,0.935,0.774,13.44010625,7.261414949
DFC,9,DFC_9,10,x10waterline,26.476,-21.576,-2.384,c2    ,1,5.494,0.774,0.774,13.81106807,7.632376762
DFC,9,DFC_9,11,x12,27.852,-20.978,-2.518,c2    ,1,6.092,0.64,0.774,15.30862645,9.129935142
DFC,9,DFC_9,12,x13,28.93,-20.395,-2.494,c2    ,1,6.675,0.664,0.774,16.53379231,10.35510101
DFC,9,DFC_9,13,x14,29.385,-20.051,-2.723,c2    ,1,7.019,0.435,0.774,17.0953215,10.9166302
DFC,9,DFC_9,14,x18,29.331,-19.994,-2.752,c2    ,1,7.076,0.406,0.774,17.07304586,10.89435455
DFC,9,DFC_9,15,x19,29.932,-19.604,-2.958,c2    ,1,7.466,0.2,0.774,17.78555856,11.60686725
DFC,9,DFC_9,16,x15,30.451,-19.287,-2.941,c2    ,1,7.783,0.217,0.774,18.39188175,12.21319045
DFC,9,DFC_9,17,x16,31.563,-17.594,-3.03,c2    ,1,9.476,0.128,0.774,20.15077016,13.97207885
DFC,9,DFC_9,18,x17,32.767,-16.824,-3.046,c2    ,1,10.246,0.112,0.774,21.57304273,15.39435143
DFC,9,DFC_9,19,x20,33.379,-15.37,-3.018,c2    ,1,11.7,0.14,0.774,22.77791699,16.59922568
DFC,9,DFC_9,20,x21,34.005,-13.872,-2.962,c1    ,1,13.198,0.196,0.774,24.01522401,17.83653271
DFC,9,DFC_9,21,x22,35.055,-12.784,-3.158,c1    ,1,14.286,0,0.774,25.44446875,19.26577744
DFC,9,DFC_9,22,x23,36.435,-11.958,-2.945,c1    ,1,15.112,0.213,0.774,27.04899736,20.87030605
DFC,9,DFC_9,23,x24,37.639,-11.077,-2.906,c1    ,1,15.993,0.252,0.774,28.52161197,22.34292066
DFC,9,DFC_9,24,x25,39.533,-9.516,-3.133,c1    ,1,17.554,0.025,0.774,30.91758389,24.73889258
DFC,9,DFC_9,25,x26,41.417,-8.52,-2.97,c1    ,1,18.55,0.188,0.774,33.0483979,26.8697066
DFC,9,DFC_9,26,x27,42.967,-7.275,-2.934,c1    ,1,19.795,0.224,0.774,34.99446717,28.81577587
DFC,9,DFC_9,27,x28,43.988,-6.633,-2.885,cob    ,1,20.437,0.273,0.774,36.19559073,30.01689943
DFC,9,DFC_9,28,x29,45.563,-4.815,-2.733,c1    ,1,22.255,0.425,0.774,38.42381477,32.24512346
DFC,9,DFC_9,29,x30,47.626,-3.175,-2.649,c1    ,1,23.895,0.509,0.774,41.00623528,34.82754398
DFC,9,DFC_9,30,x31,48.002,-2.886,-2.612,cob    ,1,24.184,0.546,0.774,41.47241225,35.29372095
DFC,9,DFC_9,31,x32waterline,48.317,-2.498,-2.424,cob    ,1,24.572,0.734,0.774,41.92912324,35.75043193
DFC,9,DFC_9,32,x33,51.39,1.472,0.382,cob    ,0,28.542,3.54,0.774,46.46842547,40.28973417
