Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS,8,DFSS_8,1,30,21.666,4.694,0.024,cob,0,1.107,-4.694,0
DFSS,8,DFSS_8,2,31w,21.331,3.228,-0.443,br,1,0.64,-3.228,1.466
DFSS,8,DFSS_8,3,31,20.888,2.564,-0.314,br,1,0.769,-2.564,2.13
DFSS,8,DFSS_8,4,32,20.462,1.507,-0.351,br,1,0.732,-1.507,3.187
DFSS,8,DFSS_8,5,33,19.991,-0.67,-0.558,br,1,0.525,0.67,5.364
DFSS,8,DFSS_8,6,34,19.92,-3.365,-0.659,br,1,0.424,3.365,8.059
DFSS,8,DFSS_8,7,35,19.318,-4.937,-0.036,cob,1,1.047,4.937,9.631
DFSS,8,DFSS_8,8,36,17.968,-7.837,0.294,cob,1,1.377,7.837,12.531
DFSS,8,DFSS_8,9,37,17.212,-9.164,-0.436,cob,1,0.647,9.164,13.858
DFSS,8,DFSS_8,10,38,15.966,-11.873,-0.615,cob,1,0.468,11.873,16.567
DFSS,8,DFSS_8,11,39,15.107,-14.503,-0.873,br,1,0.21,14.503,19.197
DFSS,8,DFSS_8,12,40,13.743,-16.449,-1.019,br,1,0.0640000000000001,16.449,21.143
DFSS,8,DFSS_8,13,41,13.145,-17.892,-1.083,cob,1,0,17.892,22.586
DFSS,8,DFSS_8,14,42,12.68,-19.987,-0.805,br,1,0.278,19.987,24.681
DFSS,8,DFSS_8,15,43,12.685,-20.968,-0.475,br,1,0.608,20.968,25.662
DFSS,8,DFSS_8,16,44,12.018,-22.751,-0.725,br,1,0.358,22.751,27.445
DFSS,8,DFSS_8,17,45,12.012,-22.738,-0.725,cob,1,0.358,22.738,27.432
DFSS,8,DFSS_8,18,46,11.424,-25.326,-0.707,cob,1,0.376,25.326,30.02
DFSS,8,DFSS_8,19,47,11.2,-26.887,-0.47,br,1,0.613,26.887,31.581
DFSS,8,DFSS_8,20,48,10.639,-29.658,-0.607,br,1,0.476,29.658,34.352
DFSS,8,DFSS_8,21,49,10.071,-31.705,-0.635,br,1,0.448,31.705,36.399
DFSS,8,DFSS_8,22,50,9.725,-33.745,-0.835,br,1,0.248,33.745,38.439
DFSS,8,DFSS_8,23,51,9.444,-35.477,-0.908,br,1,0.175,35.477,40.171
DFSS,8,DFSS_8,24,52,9.188,-37.508,-0.914,br,1,0.169,37.508,42.202
DFSS,8,DFSS_8,25,53,8.818,-38.532,-0.908,cob,1,0.175,38.532,43.226
DFSS,8,DFSS_8,26,54,8.816,-38.526,-0.904,cob,1,0.179,38.526,43.22
DFSS,8,DFSS_8,27,55w,8.032,-41.333,-0.344,cob,1,0.739,41.333,46.027
DFSS,8,DFSS_8,28,56,6.193,-43.819,0.011,cob,0,1.094,43.819,48.513
