Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS2,1,,1,242 abovewl,77.662,-54.223,-0.363,cb    ,0,0.776,-29.43883363,0
DFSS2,1,,2,243 abovewl,76.69,-54.593,-0.886,bd    ,0,0.253,-28.43973604,0.99909759
DFSS2,1,,3,244 abovewl,76.41,-55.129,-1.139,bd    ,0,0,-27.89368202,1.545151607
DFSS2,1,,4,245 abovewl,75.737,-55.969,-0.652,bd    ,0,0.487,-26.85081585,2.588017774
DFSS2,1,,5,246 abovewl,74.505,-56.545,-0.507,bd    ,0,0.632,-25.52010342,3.918730208
DFSS2,1,,6,247 abovewl,72.121,-58.246,-0.497,bd    ,0,0.642,-22.59242926,6.84640437
DFSS2,1,,7,248,69.405,-60.206,-0.628,bd    ,1,0.511,-19.24374178,10.19509184
DFSS2,1,,8,249,67.018,-62.097,-0.713,bd    ,1,0.426,-16.19940584,13.23942778
DFSS2,1,,9,250,65.595,-63.018,-0.83,bd    ,1,0.309,-14.50861247,14.93022116
DFSS2,1,,10,251,65.158,-63.336,-0.614,bd    ,1,0.525,-13.96822689,15.47060673
DFSS2,1,,11,252,63.861,-64.427,-0.584,bd    ,1,0.555,-12.27586448,17.16296915
DFSS2,1,,12,253,62.709,-65.511,-0.66,bd    ,1,0.479,-10.70355992,18.73527371
DFSS2,1,,13,254,60.985,-66.94,-0.884,bd    ,1,0.255,-8.466773568,20.97206006
DFSS2,1,,14,255,60.47,-66.198,-0.768,bd    ,1,0.371,-8.501547691,20.93728593
DFSS2,1,,15,256,58.547,-68.032,-0.679,bd    ,1,0.46,-5.862205121,23.5766285
DFSS2,1,,16,257,56.838,-69.926,-0.672,bd    ,1,0.467,-3.357754696,26.08107893
DFSS2,1,,17,258,56.245,-70.392,-0.861,bd    ,1,0.278,-2.603726194,26.83510743
DFSS2,1,,18,259,55.889,-70.751,-0.574,cb    ,1,0.565,-2.103398593,27.33543503
DFSS2,1,,19,260 waterline,53.468,-72.864,-0.503,cb    ,1,0.636,1.101611267,30.54044489
DFSS2,1,,20,261 above wl,50.427,-74.288,0.037,cb    ,0,1.176,4.3876109,33.82644453
