Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS,4,DFSS_4,1,xs400,-27.195,10.475,-0.462,br    ,0,1.374,-10.475,0
DFSS,4,DFSS_4,2,xs401,-27.132,9.487,-0.597,br    ,1,1.239,-9.487,0.988
DFSS,4,DFSS_4,3,xs402,-27.68,7.559,-0.637,br    ,1,1.199,-7.559,2.916
DFSS,4,DFSS_4,4,xs403,-28.348,5.436,-0.843,br    ,1,0.993,-5.436,5.039
DFSS,4,DFSS_4,5,xs404,-29.409,3.875,-1.007,br    ,1,0.829,-3.875,6.6
DFSS,4,DFSS_4,6,xs405,-30.393,1.216,-1.124,br    ,1,0.712,-1.216,9.259
DFSS,4,DFSS_4,7,xs406,-31.756,-1.638,-1.163,br    ,1,0.673,1.638,12.113
DFSS,4,DFSS_4,8,xs407,-32.444,-3.727,-1.426,br    ,1,0.41,3.727,14.202
DFSS,4,DFSS_4,9,xs408,-32.722,-5.512,-1.414,br    ,1,0.422,5.512,15.987
DFSS,4,DFSS_4,10,xs409,-33.127,-7.642,-1.611,br    ,1,0.225,7.642,18.117
DFSS,4,DFSS_4,11,xs410,-33.468,-9.204,-1.836,br    ,1,0,9.204,19.679
DFSS,4,DFSS_4,12,xs411,-33.346,-10.593,-1.568,cw    ,1,0.268,10.593,21.068
DFSS,4,DFSS_4,13,xs412,-33.359,-12.475,-1.322,cw    ,1,0.514,12.475,22.95
DFSS,4,DFSS_4,14,xs413,-33.719,-14.479,-1.331,cw    ,1,0.505,14.479,24.954
DFSS,4,DFSS_4,15,xs414,-34.139,-16.152,-1.108,cw    ,1,0.728,16.152,26.627
DFSS,4,DFSS_4,16,xs415,-34.503,-18.046,-1.202,cw    ,1,0.634,18.046,28.521
DFSS,4,DFSS_4,17,xs416,-35.028,-19.328,-1.303,cw    ,1,0.533,19.328,29.803
DFSS,4,DFSS_4,18,xs417,-35.682,-20.531,-1.234,cw    ,1,0.602,20.531,31.006
DFSS,4,DFSS_4,19,xs418,-35.936,-22.266,-1.36,cw    ,1,0.476,22.266,32.741
DFSS,4,DFSS_4,20,xs419,-35.842,-24.129,-1.086,cw    ,1,0.75,24.129,34.604
DFSS,4,DFSS_4,21,xs420,-35.928,-26.176,-0.78,cw    ,1,1.056,26.176,36.651
DFSS,4,DFSS_4,22,xs421,-36.259,-27.466,-0.449,c    ,0,1.387,27.466,37.941
DFSS,4,DFSS_4,23,xs422,-36.269,-28.435,-0.169,br    ,0,1.667,28.435,38.91
DFSS,4,DFSS_4,24,xs423,-35.832,-31.629,0.495,br    ,0,2.331,31.629,42.104
