Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS2,7,,1,128 abovew,46.185,-21.619,-0.278,bd    ,0,1.091,-10.80297599,0
DFSS2,7,,2,129 waterline,45.766,-22.352,-0.395,bd    ,1,0.974,-9.966013172,0.836962822
DFSS2,7,,3,130 waterline,44.056,-24.303,-0.693,bd    ,1,0.676,-7.377758825,3.425217169
DFSS2,7,,4,131,41.297,-27.426,-0.642,bd    ,1,0.727,-3.221496013,7.58147998
DFSS2,7,,5,132,38.917,-30.07,-0.749,bd    ,1,0.62,0.324062549,11.12703854
DFSS2,7,,6,133,37.769,-31.767,-0.727,bd    ,1,0.642,2.369626219,13.17260221
DFSS2,7,,7,134,36.08,-33.832,-0.857,bd    ,1,0.512,5.035816849,15.83879284
DFSS2,7,,8,135,34.938,-35.428,-1.176,bd    ,1,0.193,6.997416197,17.80039219
DFSS2,7,,9,136,34.393,-36.149,-1.369,bd    ,1,0,7.90121536,18.70419135
DFSS2,7,,10,137,33.497,-37.603,-1.26,cb    ,1,0.109,9.600756305,20.4037323
DFSS2,7,,11,138,32.419,-39.548,-1.344,cb    ,1,0.025,11.80112554,22.60410154
DFSS2,7,,12,139,32.243,-39.827,-1.366,bd    ,1,0.003,12.12970916,22.93268515
DFSS2,7,,13,140,31.612,-40.512,-1.295,bd    ,1,0.074,13.05700935,23.85998534
DFSS2,7,,14,141,30.83,-41.265,-1.355,bd    ,1,0.014,14.12992615,24.93290215
DFSS2,7,,15,142,30.544,-41.494,-1.077,bd    ,1,0.292,14.48542494,25.28840093
DFSS2,7,,16,143,29.059,-43.396,-0.997,bd    ,1,0.372,16.89831553,27.70129152
DFSS2,7,,17,144 waterline,25.682,-48.011,-0.42,cb    ,1,0.949,22.61582008,33.41879607
DFSS2,7,,18,145 above wl,22.473,-51.639,-0.059,cb    ,0,1.31,27.44650503,38.24948103
DFSS2,7,,19,146 above wl,19.184,-57.537,0.219,cb    ,0,1.588,34.13105836,44.93403435
