Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS,7,DFSS_7,32,xs625,-15.99,-40.667,0.584,br    ,0,2.257,40.667,46.62
DFSS,7,DFSS_7,31,xs626,-15.544,-38.531,-0.163,c    ,0,1.51,38.531,44.484
DFSS,7,DFSS_7,30,xs627,-14.665,-36.321,-0.473,cw    ,1,1.2,36.321,42.274
DFSS,7,DFSS_7,29,xs704,-13.908,-34.447,-0.96,cw    ,1,0.713,34.447,40.4
DFSS,7,DFSS_7,28,xs705,-13.192,-32.74,-1.326,cw    ,1,0.347,32.74,38.693
DFSS,7,DFSS_7,27,xs706,-12.803,-31.773,-1.673,cw    ,1,0,31.773,37.726
DFSS,7,DFSS_7,26,xs707,-12.383,-30.294,-1.374,br    ,1,0.299,30.294,36.247
DFSS,7,DFSS_7,25,xs708,-11.831,-28.341,-1.262,br    ,1,0.411,28.341,34.294
DFSS,7,DFSS_7,24,xs709,-11.508,-26.58,-1.248,cw    ,1,0.425,26.58,32.533
DFSS,7,DFSS_7,23,xs710,-10.47,-24.843,-0.995,cw    ,1,0.678,24.843,30.796
DFSS,7,DFSS_7,22,xs711,-9.247,-22.559,-1.121,cw    ,1,0.552,22.559,28.512
DFSS,7,DFSS_7,21,xs712,-8.202,-21.134,-1.345,cw    ,1,0.328,21.134,27.087
DFSS,7,DFSS_7,20,xs713,-7.717,-19.102,-1.212,br    ,1,0.461,19.102,25.055
DFSS,7,DFSS_7,19,xs714,-6.756,-16.698,-1.153,br    ,1,0.52,16.698,22.651
DFSS,7,DFSS_7,18,xs715,-6.295,-15.456,-1.22,br    ,1,0.453,15.456,21.409
DFSS,7,DFSS_7,17,xs716,-5.692,-14.173,-0.863,br    ,1,0.81,14.173,20.126
DFSS,7,DFSS_7,16,xs717,-4.906,-11.715,-1.095,br    ,1,0.578,11.715,17.668
DFSS,7,DFSS_7,15,xs718,-4.539,-9.623,-0.647,br    ,1,1.026,9.623,15.576
DFSS,7,DFSS_7,14,xs719,-4.577,-9.144,-0.454,br    ,1,1.219,9.144,15.097
DFSS,7,DFSS_7,13,xs720,-4.429,-8.94,-0.419,br    ,0,1.254,8.94,14.893
DFSS,7,DFSS_7,12,xs721,-4.478,-8.795,-0.451,br    ,1,1.222,8.795,14.748
DFSS,7,DFSS_7,11,xs722,-3.675,-6.191,-0.564,br    ,1,1.109,6.191,12.144
DFSS,7,DFSS_7,10,xs723,-3.494,-5.514,-0.638,br    ,1,1.035,5.514,11.467
DFSS,7,DFSS_7,9,xs724,-3.086,-4.099,-0.508,br    ,1,1.165,4.099,10.052
DFSS,7,DFSS_7,8,xs725,-2.923,-3.108,-0.418,br    ,1,1.255,3.108,9.061
DFSS,7,DFSS_7,7,xs726,-2.482,-0.72,-0.429,br    ,1,1.244,0.72,6.673
DFSS,7,DFSS_7,6,xs727,-2.362,-0.561,-0.501,br    ,1,1.172,0.561,6.514
DFSS,7,DFSS_7,5,xs728,-2.329,-0.444,-0.423,br    ,1,1.25,0.444,6.397
DFSS,7,DFSS_7,4,xs729,-2.179,-0.005,-0.194,br    ,0,1.479,0.005,5.958
DFSS,7,DFSS_7,3,xs730,-1.81,2.295,-0.697,br    ,0,0.976,-2.295,3.658
DFSS,7,DFSS_7,2,xs731,-1.213,4.735,-0.419,br    ,0,1.254,-4.735,1.218
DFSS,7,DFSS_7,1,xs732,-1.053,5.953,0.107,br    ,0,1.78,-5.953,0
