Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_X,Normalized_Z,Water,X_adj,Position
DFC,4,DFC_4,1,y24,-23.926,9.3,-0.383,c4    ,0,0,2.323,0.743,0.131991207481381,0
DFC,4,DFC_4,2,y25,-22.754,12.329,-0.611,c4    ,0,3.029,2.095,0.743,3.37980403799628,3.2478128305149
DFC,4,DFC_4,3,y26,-21.628,14.971,-1.546,c3    ,0,5.671,1.16,0.743,6.24974694876619,6.11775574128481
DFC,4,DFC_4,4,y27waterline,-20.992,17.694,-1.963,c3    ,1,8.394,0.743,0.743,9.02016455370568,8.8881733462243
DFC,4,DFC_4,5,y28,-20.384,20.783,-2.236,c3    ,1,11.483,0.47,0.743,12.1223852481079,11.9903940406265
DFC,4,DFC_4,6,y29,-19.788,22.282,-2.402,c2    ,1,12.982,0.304,0.743,13.7353909262335,13.6033997187522
DFC,4,DFC_4,7,y30,-18.831,23.165,-2.398,c2    ,1,13.865,0.308,0.743,14.9021604840169,14.7701692765356
DFC,4,DFC_4,8,y31,-18.298,25.156,-2.539,c1    ,1,15.856,0.167,0.743,16.9521302431572,16.8201390356758
DFC,4,DFC_4,9,y32,-17.382,28.59,-2.386,c1    ,1,19.29,0.32,0.743,20.486660048427,20.3546688409456
DFC,4,DFC_4,10,y33,-16.681,30.863,-2.489,c1    ,1,21.563,0.217,0.743,22.8600529979255,22.7280617904441
DFC,4,DFC_4,11,y34,-15.822,33.056,-2.537,c1    ,1,23.756,0.169,0.743,25.2152169080078,25.0832257005264
DFC,4,DFC_4,12,y35,-15.356,34.965,-2.604,c1    ,1,25.665,0.102,0.743,27.1646534763958,27.0326622689144
DFC,4,DFC_4,13,y23,-14.477,35.903,-2.706,c1    ,1,26.603,0,0.743,28.3549037758093,28.2229125683279
DFC,4,DFC_4,14,y22,-12.758,38.876,-2.524,c1    ,1,29.576,0.182,0.743,31.7459669920898,31.6139757846084
DFC,4,DFC_4,15,y21,-11.714,40.048,-2.187,c2    ,1,30.748,0.519,0.743,33.213740070663,33.0817488631816
DFC,4,DFC_4,16,y20waterline,-11.569,40.388,-2.106,cob    ,1,31.088,0.6,0.743,33.5831079598953,33.4511167524139
DFC,4,DFC_4,17,y19,-11.225,42.213,-1.808,cob    ,0,32.913,0.898,0.743,35.4104812954311,35.2784900879498
