Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS,3,DFSS_3,26,xs3-1,-51.867,-29.509,0.788,br    ,0,2.083,29.509,40.78
DFSS,3,DFSS_3,25,xs300,-51.406,-29.041,-0.546,br    ,1,0.749,29.041,40.312
DFSS,3,DFSS_3,24,xs301,-51.472,-26.983,-0.806,br    ,1,0.489,26.983,38.254
DFSS,3,DFSS_3,23,xs302,-51.06,-24.004,-0.533,br    ,1,0.762,24.004,35.275
DFSS,3,DFSS_3,22,xs303,-50.434,-22.071,-0.506,br    ,1,0.789,22.071,33.342
DFSS,3,DFSS_3,21,xs304,-49.725,-20.502,-0.506,br    ,1,0.789,20.502,31.773
DFSS,3,DFSS_3,20,xs305,-49.654,-19.683,-1.168,cw    ,1,0.127,19.683,30.954
DFSS,3,DFSS_3,19,xs306,-49.014,-17.748,-1.295,br    ,1,0,17.748,29.019
DFSS,3,DFSS_3,18,xs307,-48.503,-16.128,-1.18,br    ,1,0.115,16.128,27.399
DFSS,3,DFSS_3,17,xs308,-47.917,-14.365,-1.164,br    ,1,0.131,14.365,25.636
DFSS,3,DFSS_3,16,xs309,-47.529,-13.265,-1.292,cw    ,1,0.00299999999999989,13.265,24.536
DFSS,3,DFSS_3,15,xs310,-47.158,-11.842,-1.062,cw    ,1,0.233,11.842,23.113
DFSS,3,DFSS_3,14,xs311,-46.324,-10.241,-1.033,br    ,1,0.262,10.241,21.512
DFSS,3,DFSS_3,13,xs312,-45.263,-8.387,-0.819,br    ,1,0.476,8.387,19.658
DFSS,3,DFSS_3,12,xs313,-44.227,-6.703,-0.782,br    ,1,0.513,6.703,17.974
DFSS,3,DFSS_3,11,xs314,-43.234,-4.9,-0.723,br    ,1,0.572,4.9,16.171
DFSS,3,DFSS_3,10,xs315,-42.368,-3.136,-0.766,br    ,1,0.529,3.136,14.407
DFSS,3,DFSS_3,9,xs316,-41.619,-1.631,-0.727,br    ,1,0.568,1.631,12.902
DFSS,3,DFSS_3,8,xs317,-40.662,0.418,-0.602,br    ,1,0.693,-0.418,10.853
DFSS,3,DFSS_3,7,xs318,-40.488,1.088,-0.939,br    ,1,0.356,-1.088,10.183
DFSS,3,DFSS_3,6,xs319,-39.821,2.743,-0.969,cw    ,1,0.326,-2.743,8.528
DFSS,3,DFSS_3,5,xs320,-38.929,4.047,-0.949,cw    ,1,0.346,-4.047,7.224
DFSS,3,DFSS_3,4,xs321,-38.699,4.294,-0.615,br    ,1,0.68,-4.294,6.977
DFSS,3,DFSS_3,3,xs322,-37.892,6.538,-0.478,br    ,1,0.817,-6.538,4.733
DFSS,3,DFSS_3,2,xs323,-35.864,9.63,-0.432,br    ,0,0.863,-9.63,1.641
DFSS,3,DFSS_3,1,xs324,-34.663,11.271,-0.433,br    ,0,0.862,-11.271,0
