Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_X,Normalized_Z,Water,X_adj,Position
DFC,8,DFC_8,1,x35,7.8,-13.449,0.013,c4    ,0,0,2.941,0.643,-1.14153927103839,0
DFC,8,DFC_8,2,x36,10.545,-12.161,-0.137,c4    ,0,1.288,2.791,0.643,1.85172740357926,2.99326667461765
DFC,8,DFC_8,3,x37,12.821,-10.865,-0.418,c4    ,0,2.584,2.51,0.643,4.46217131140764,5.60371058244603
DFC,8,DFC_8,4,x38,13.824,-10.319,-0.912,c3    ,0,3.13,2.016,0.643,5.59838705572721,6.7399263267656
DFC,8,DFC_8,5,x39,14.238,-9.689,-1.389,c3    ,0,3.76,1.539,0.643,6.29552873763669,7.43706800867508
DFC,8,DFC_8,6,x40,15.649,-6.768,-1.69,c3    ,0,6.681,1.238,0.643,9.10786432825437,10.2494035992928
DFC,8,DFC_8,7,x41,16.405,-5.756,-1.842,c2    ,0,7.693,1.086,0.643,10.3028480070026,11.444387278041
DFC,8,DFC_8,8,x42,16.41,-5.636,-2.189,c2    ,0,7.813,0.739,0.643,10.3746404047589,11.5161796757973
DFC,8,DFC_8,9,x43waterline,16.785,-5.48,-2.362,c2    ,1,7.969,0.566,0.643,10.7723040931491,11.9138433641875
DFC,8,DFC_8,10,x44,17.192,-5.561,-2.798,c1    ,1,7.888,0.13,0.643,11.0627611563463,12.2043004273847
DFC,8,DFC_8,11,x45,18.422,-4.647,-2.847,c1    ,1,8.802,0.081,0.643,12.5939496773764,13.7354889484148
DFC,8,DFC_8,12,x46,19.55,-3.783,-2.901,c1    ,1,9.666,0.0270000000000001,0.643,14.0127063926935,15.1542456637319
DFC,8,DFC_8,13,x47,20.897,-2.738,-2.928,c1    ,1,10.711,0,0.643,15.7143873416981,16.8559266127365
DFC,8,DFC_8,14,x48,21.372,-2.185,-2.677,c2    ,1,11.264,0.251,0.643,16.4184900542902,17.5600293253286
DFC,8,DFC_8,15,x49,22.263,-0.735,-2.608,c2    ,1,12.714,0.32,0.643,17.971936458255,19.1134757292934
DFC,8,DFC_8,16,x50,22.751,0.409,-2.456,c2    ,1,13.858,0.472,0.643,19.0200159760211,20.1615552470595
DFC,8,DFC_8,17,x51,23.102,2.647,-2.855,c1    ,1,16.096,0.073,0.643,20.5718125198333,21.7133517908717
DFC,8,DFC_8,18,x52,24.536,3.406,-2.69,c1    ,1,16.855,0.238,0.643,22.1840806895407,23.3256199605791
DFC,8,DFC_8,19,x53,26.152,4.468,-2.53,c1    ,1,17.917,0.398,0.643,24.1175066137595,25.2590458847979
DFC,8,DFC_8,20,x54,27.15,6.131,-2.622,c1    ,1,19.58,0.306,0.643,25.8794231443239,27.0209624153623
DFC,8,DFC_8,21,x55,28.665,7.422,-2.648,c1    ,1,20.871,0.28,0.643,27.8585597051298,29.0000989761682
DFC,8,DFC_8,22,x56,29.83,8.541,-2.665,c1    ,1,21.99,0.263,0.643,29.4516576210203,30.5931968920587
DFC,8,DFC_8,23,x57,31.182,9.342,-2.73,cob    ,1,22.791,0.198,0.643,31.0198864091908,32.1614256802292
DFC,8,DFC_8,24,x58,32.46,9.942,-2.394,cob    ,1,23.391,0.534,0.643,32.4136651275454,33.5552043985838
DFC,8,DFC_8,25,x59,33.637,10.817,-2.633,cob    ,1,24.266,0.295,0.643,33.8790919816496,35.020631252688
DFC,8,DFC_8,26,x60waterline,34.534,11.457,-2.285,cob    ,1,24.906,0.643,0.643,34.9807680846382,36.1223073556766
DFC,8,DFC_8,27,x61,39.144,14.925,0.173,cob    ,0,28.374,3.101,0.643,40.7434966367063,41.8850359077447
