Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_X,Normalized_Z,Water,X_adj,Position
DFC,6,DFC_6,1,x90,-4.061,-1.777,0.005,c4    ,0,0,3.071,1.013,-4.022022464,0
DFC,6,DFC_6,2,x91,-1.844,1.607,-0.277,c4    ,0,3.384,2.789,1.013,-0.01859891,4.003423553
DFC,6,DFC_6,3,x92,-1.034,2.563,-0.72,c4    ,0,4.34,2.346,1.013,1.234121707,5.256144171
DFC,6,DFC_6,4,x93,-0.894,2.967,-0.979,c3    ,0,4.744,2.087,1.013,1.629446689,5.651469153
DFC,6,DFC_6,5,x94,-0.184,3.508,-1.515,c3    ,0,5.285,1.551,1.013,2.505113172,6.527135636
DFC,6,DFC_6,6,x95,1.287,5.051,-1.57,c3    ,0,6.828,1.496,1.013,4.635475629,8.657498093
DFC,6,DFC_6,7,x96,1.554,5.38,-1.73,c3    ,0,7.157,1.336,1.013,5.058799404,9.080821868
DFC,6,DFC_6,8,x97,3.318,7.101,-1.786,c3    ,0,8.878,1.28,1.013,7.516636075,11.53865854
DFC,6,DFC_6,9,x98waterline,3.336,7.245,-2.053,c2    ,1,9.022,1.013,1.013,7.63640283,11.65842529
DFC,6,DFC_6,10,x99,4.13,7.996,-2.259,c2    ,1,9.773,0.807,1.013,8.725000765,12.74702323
DFC,6,DFC_6,11,x99,4.117,8.048,-2.268,c2    ,1,9.825,0.798,1.013,8.755326992,12.77734946
DFC,6,DFC_6,12,x100,5.041,9.181,-2.23,c2    ,1,10.958,0.836,1.013,10.21614755,14.23817001
DFC,6,DFC_6,13,x101,6.294,11.594,-2.517,c2    ,1,13.371,0.549,1.013,12.85355976,16.87558223
DFC,6,DFC_6,14,x102,6.277,12.069,-2.588,c1    ,1,13.846,0.478,1.013,13.1980091,17.22003157
DFC,6,DFC_6,15,x103,7.348,14.115,-2.643,c1    ,1,15.892,0.423,1.013,15.4399708,19.46199327
DFC,6,DFC_6,16,x104,8.55,16.246,-2.643,c1    ,1,18.023,0.423,1.013,17.83240208,21.85442454
DFC,6,DFC_6,17,x105,9.335,17.676,-2.665,c1    ,1,19.453,0.401,1.013,19.42352147,23.44554393
DFC,6,DFC_6,19,x106,9.937,19.515,-2.691,c1    ,1,21.292,0.375,1.013,21.19965433,25.22167679
DFC,6,DFC_6,22,x107,10.5,20.672,-2.799,c1    ,1,22.449,0.267,1.013,22.43920894,26.46123141
DFC,6,DFC_6,18,x88,14.054,18.794,-2.955,c1    ,1,20.571,0.111,1.013,23.38809987,27.41012234
DFC,6,DFC_6,21,x89,12.659,20.519,-3.066,c1    ,1,22.296,0,1.013,23.75542573,27.77744819
DFC,6,DFC_6,20,x87,15.047,19.645,-2.991,cob    ,1,21.422,0.075,1.013,24.6834649,28.70548736
DFC,6,DFC_6,23,x86,16.373,20.674,-2.712,cob    ,1,22.451,0.354,1.013,26.33281261,30.35483507
DFC,6,DFC_6,24,x85,17.996,22.322,-2.442,cob    ,1,24.099,0.624,1.013,28.64253908,32.66456155
DFC,6,DFC_6,25,x84waterline,19.862,23.988,-2.106,cob    ,1,25.765,0.96,1.013,31.12678425,35.14880671
DFC,6,DFC_6,26,x83,21.597,25.82,-1.316,cob    ,0,27.597,1.75,1.013,33.64852736,37.67054982
DFC,6,DFC_6,27,x82,23.697,27.748,0.573,cob    ,0,29.525,3.639,1.013,36.48405221,40.50607467
