Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_X,Normalized_Z,Water,X_adj,Position
DFC,2,DFC_2,1,y53,-64.873,37.89,-0.193,c4    ,0,0,1.767,0.53,-0.392480269049386,0
DFC,2,DFC_2,2,y54,-64.008,38.655,-0.507,c4    ,0,0.765000000000001,1.453,0.53,0.70622759115804,1.09870786020743
DFC,2,DFC_2,3,y55,-63.919,39,-0.714,c3    ,0,1.11,1.246,0.53,1.04851073624636,1.44099100529574
DFC,2,DFC_2,4,y56,-62.738,40.719,-1.218,c3    ,0,2.829,0.742,0.53,3.12927203053263,3.52175229958201
DFC,2,DFC_2,5,y57waterline,-62.155,42.279,-1.472,c3    ,1,4.389,0.488,0.53,4.76886702419475,5.16134729324414
DFC,2,DFC_2,6,y58,-60.902,44.464,-1.597,c3    ,1,6.574,0.363,0.53,7.28742484003826,7.67990510908765
DFC,2,DFC_2,7,y59,-60.87,46.026,-1.717,c2    ,1,8.136,0.243,0.53,8.64836735934795,9.04084762839734
DFC,2,DFC_2,8,y60,-59.287,49.473,-1.624,c2    ,1,11.583,0.336,0.53,12.4212465702468,12.8137268392962
DFC,2,DFC_2,9,y61,-57.783,52.214,-1.678,c2    ,1,14.324,0.282,0.53,15.5461615324601,15.9386418015095
DFC,2,DFC_2,10,y62,-55.967,55.419,-1.723,c2    ,1,17.529,0.237,0.53,19.2292743600921,19.6217546291415
DFC,2,DFC_2,11,y63,-54.301,57.205,-1.797,c1    ,1,19.315,0.163,0.53,21.6145034563493,22.0069837253987
DFC,2,DFC_2,12,y64,-53.135,59.142,-1.874,c1    ,1,21.252,0.0859999999999999,0.53,23.875298998612,24.2677792676613
DFC,2,DFC_2,13,y65,-52.022,61.404,-1.95,c1    ,1,23.514,0.01,0.53,26.3889043923992,26.7813846614485
DFC,2,DFC_2,14,y66,-51.104,62.855,-1.96,c1    ,1,24.965,0,0.53,28.1051293528633,28.4976096219127
DFC,2,DFC_2,15,y67,-50.217,63.488,-1.96,cob    ,1,25.598,0,0.53,29.1013986342858,29.4938789033352
DFC,2,DFC_2,16,y68waterlinne,-49.118,64.633,-1.43,cob    ,1,26.743,0.53,0.53,30.6463023341676,31.038782603217
DFC,2,DFC_2,17,y69,-45.314,69.765,-0.638,cob    ,0,31.875,1.322,0.53,36.999873605603,37.3923538746524
