Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS2,10,,1,83 above w,29.72,-3.509,1.039,bd    ,0,2.35,-11.06396635,0
DFSS2,10,,2,82 above w,27.831,-5.709,-0.433,bd    ,0,0.878,-8.229951645,2.834014702
DFSS2,10,,3,81 above w,26.435,-7.705,-0.233,bd    ,0,1.078,-5.810050738,5.253915609
DFSS2,10,,4,80 above w,25.593,-9.076,-0.655,bd    ,0,0.656,-4.203529092,6.860437255
DFSS2,10,,5,79 waterline,25.221,-9.926,-0.204,bd    ,0,1.107,-3.278937578,7.785028768
DFSS2,10,,6,78 waterline,24.561,-11.225,-0.398,bd    ,1,0.913,-1.822382557,9.24158379
DFSS2,10,,7,76,23.752,-12.54,-0.696,bd    ,1,0.615,-0.280818121,10.78314823
DFSS2,10,,8,75,23.535,-12.941,-0.503,bd    ,1,0.808,0.175131429,11.23909778
DFSS2,10,,9,74,22.85,-14.124,-0.486,bd    ,1,0.825,1.541579738,12.60554608
DFSS2,10,,10,73,21.943,-15.657,-0.767,bd    ,1,0.544,3.321509208,14.38547555
DFSS2,10,,11,72,21.141,-16.921,-0.561,bd    ,1,0.75,4.814892033,15.87885838
DFSS2,10,,12,71,19.726,-20.57,-0.601,bd    ,1,0.71,8.697470804,19.76143715
DFSS2,10,,13,70,19.547,-21.075,-0.985,bd    ,1,0.326,9.22678506,20.29075141
DFSS2,10,,14,69,18.609,-22.002,-0.833,bd    ,1,0.478,10.48856325,21.5525296
DFSS2,10,,15,68,18.311,-22.368,-1.203,bd    ,1,0.108,10.95229839,22.01626474
DFSS2,10,,16,67,18.074,-22.714,-1.311,bd    ,1,0,11.36940352,22.43336987
DFSS2,10,,17,66,16.774,-24.981,-1.181,bd    ,1,0.13,13.98191339,25.04587973
DFSS2,10,,18,65,16.426,-25.869,-1.017,bd    ,1,0.294,14.92849528,25.99246163
DFSS2,10,,19,64,15.617,-27.512,-1.133,bd    ,1,0.178,16.75849969,27.82246604
DFSS2,10,,20,63,14.977,-29.182,-1.31,bd    ,1,0.001,18.53178642,29.59575277
DFSS2,10,,21,62,13.763,-30.596,-0.773,cb    ,1,0.538,20.35323173,31.41719807
DFSS2,10,,22,61,13.046,-31.505,-0.954,bd    ,1,0.357,21.49396239,32.55792874
DFSS2,10,,23,60,12.545,-33.594,-0.995,bd    ,1,0.316,23.56953544,34.63350179
DFSS2,10,,24,58 abovewaterl,11.683,-35.749,-0.214,cb    ,0,1.097,25.87502101,36.93898736
DFSS2,10,,25,57 abovewaterl,8.655,-42.2,0.307,cb    ,0,1.618,32.98960325,44.0535696
