Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_X,Normalized_Z,Water,X_adj,Position
DFC,10,DFC_10,1,y87,35.161,-21.37,0.104,c4    ,0,0,3.351,0.78,-2.222479172,0
DFC,10,DFC_10,2,y88,36.401,-19.117,-0.103,c4    ,0,2.253,3.144,0.78,0.349057437,2.571536608
DFC,10,DFC_10,3,y89,36.849,-19.036,-0.787,c3    ,0,2.334,2.46,0.78,0.632107731,2.854586903
DFC,10,DFC_10,4,y90,37.418,-18.726,-2.022,c3    ,0,2.644,1.225,0.78,1.174155325,3.396634497
DFC,10,DFC_10,5,y91,37.413,-18.723,-2.022,c2    ,0,2.647,1.225,0.78,1.174437103,3.396916275
DFC,10,DFC_10,6,y92waterline,37.663,-17.728,-2.467,c1    ,1,3.642,0.78,0.78,2.169498371,4.391977543
DFC,10,DFC_10,7,y93,38.842,-14.774,-2.746,c1    ,1,6.596,0.501,0.78,5.330044162,7.552523333
DFC,10,DFC_10,8,y93,38.831,-14.77,-2.745,c1    ,1,6.6,0.502,0.78,5.328372553,7.550851724
DFC,10,DFC_10,9,y94,39.992,-12.802,-3.107,c1    ,1,8.568,0.14,0.78,7.61139923,9.833878402
DFC,10,DFC_10,10,y95,41.129,-9.712,-2.98,c1    ,1,11.658,0.267,0.78,10.87196596,13.09444513
DFC,10,DFC_10,11,y96,42.908,-6.848,-3.008,c1    ,1,14.522,0.239,0.78,14.23666397,16.45914314
DFC,10,DFC_10,12,y97,44.588,-3.483,-3.118,c1    ,1,17.887,0.129,0.78,17.99614703,20.2186262
DFC,10,DFC_10,13,y98,46.482,-0.218,-3.247,c1    ,1,21.152,0,0.78,21.76860046,23.99107963
DFC,10,DFC_10,14,y99,47.615,2.048,-3.041,c1    ,1,23.418,0.206,0.78,24.30104179,26.52352096
DFC,10,DFC_10,15,y100,48.965,4.369,-2.803,c1    ,1,25.739,0.444,0.78,26.9844807,29.20695988
DFC,10,DFC_10,16,y101,50.429,6.326,-2.636,c2    ,1,27.696,0.611,0.78,29.40096689,31.62344606
DFC,10,DFC_10,17,y102,50.533,8.68,-2.525,c2    ,1,30.05,0.722,0.78,31.52480935,33.74728852
DFC,10,DFC_10,18,y103waterline,50.832,10.293,-2.491,cob    ,1,31.663,0.756,0.78,33.08769767,35.31017684
DFC,10,DFC_10,19,y104,50.769,11.852,-1.546,cob    ,0,33.222,1.701,0.78,34.43196354,36.65444271
