Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS,6,DFSS_6,1,xs600,-9.458,5.935,-0.174,br    ,0,1.611,-5.935,0
DFSS,6,DFSS_6,2,xs601,-9.987,4.081,-0.385,br    ,0,1.4,-4.081,1.854
DFSS,6,DFSS_6,3,xs602,-10.564,1.658,-0.393,br    ,0,1.392,-1.658,4.277
DFSS,6,DFSS_6,4,xs603,-11.601,-0.442,-0.341,br    ,0,1.444,0.442,6.377
DFSS,6,DFSS_6,5,xs604,-12.401,-3.097,-0.434,br    ,1,1.351,3.097,9.032
DFSS,6,DFSS_6,6,xs605,-13.148,-5.073,-0.607,br    ,1,1.178,5.073,11.008
DFSS,6,DFSS_6,7,xs606,-13.866,-6.683,-0.786,br    ,1,0.999,6.683,12.618
DFSS,6,DFSS_6,8,xs607,-14.284,-8.14,-0.881,br    ,1,0.904,8.14,14.075
DFSS,6,DFSS_6,9,xs608,-14.405,-8.554,-1.349,br    ,1,0.436,8.554,14.489
DFSS,6,DFSS_6,10,xs609,-14.753,-10.732,-1.381,br    ,1,0.404,10.732,16.667
DFSS,6,DFSS_6,11,xs610,-15.095,-11.98,-1.194,cw    ,1,0.591,11.98,17.915
DFSS,6,DFSS_6,12,xs611,-15.855,-13.873,-1.093,cw    ,1,0.692,13.873,19.808
DFSS,6,DFSS_6,13,xs612,-16.457,-15.602,-1.027,br    ,1,0.758,15.602,21.537
DFSS,6,DFSS_6,14,xs613,-17.21,-17.2,-1.358,br    ,1,0.427,17.2,23.135
DFSS,6,DFSS_6,15,xs614,-18.082,-18.76,-1.503,br    ,1,0.282,18.76,24.695
DFSS,6,DFSS_6,16,xs615,-19.023,-20.301,-1.608,cw    ,1,0.177,20.301,26.236
DFSS,6,DFSS_6,17,xs616,-19.809,-22.187,-1.47,br    ,1,0.315,22.187,28.122
DFSS,6,DFSS_6,18,xs617,-20.472,-24.381,-1.38,br    ,1,0.405,24.381,30.316
DFSS,6,DFSS_6,19,xs618,-21.772,-26.308,-1.702,br    ,1,0.083,26.308,32.243
DFSS,6,DFSS_6,20,xs619,-22.478,-27.822,-1.785,br    ,1,0,27.822,33.757
DFSS,6,DFSS_6,21,xs620,-22.979,-30.89,-1.423,cw    ,1,0.362,30.89,36.825
DFSS,6,DFSS_6,22,xs621,-23.644,-32.749,-0.895,br    ,1,0.89,32.749,38.684
DFSS,6,DFSS_6,23,xs622,-24.254,-33.639,-0.454,br    ,1,1.331,33.639,39.574
DFSS,6,DFSS_6,24,xs623,-24.438,-33.881,-0.086,br    ,0,1.699,33.881,39.816
DFSS,6,DFSS_6,25,xs624,-25.484,-35.913,0.466,br    ,0,2.251,35.913,41.848
