Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS2,6,,1,167 waterline,51.882,-28.042,-0.488,bd    ,1,0.94,-25.40148139,0
DFSS2,6,,2,166,49.993,-29.994,-0.691,bd    ,1,0.737,-22.72510856,2.676372825
DFSS2,6,,3,165,47.899,-31.675,-0.61,cb    ,1,0.818,-20.04274708,5.358734308
DFSS2,6,,4,164,46.714,-33.302,-0.928,bd    ,1,0.5,-18.12669823,7.274783162
DFSS2,6,,5,163,45.361,-34.781,-0.888,bd    ,1,0.54,-16.16209337,9.239388015
DFSS2,6,,6,162,44.238,-36.119,-0.764,bd    ,1,0.664,-14.46640434,10.93507705
DFSS2,6,,7,161,42.354,-38.022,-0.704,bd    ,1,0.724,-11.82293961,13.57854178
DFSS2,6,,8,160,40.956,-39.46,-0.628,bd    ,1,0.8,-9.846128232,15.55535316
DFSS2,6,,9,159,39.549,-41.37,-0.773,bd    ,1,0.655,-7.583969664,17.81751172
DFSS2,6,,10,158,38.203,-43.069,-0.679,bd    ,1,0.749,-5.495409824,19.90607156
DFSS2,6,,11,157,37.653,-43.928,-1.017,bd    ,1,0.411,-4.544920707,20.85656068
DFSS2,6,,12,156,36.915,-44.947,-1.15,bd    ,1,0.278,-3.348259325,22.05322206
DFSS2,6,,13,155,36.665,-45.551,-1.066,bd    ,1,0.362,-2.790410266,22.61107112
DFSS2,6,,14,154,35.828,-46.662,-1.428,bd    ,1,0,-1.459552901,23.94192849
DFSS2,6,,15,153,34.984,-47.359,-1.393,bd    ,1,0.035,-0.36694403,25.03453736
DFSS2,6,,16,152,33.642,-48.23,-1.236,bd    ,1,0.192,1.230574289,26.63205568
DFSS2,6,,17,151,32.726,-48.798,-0.795,cb    ,1,0.633,2.305362005,27.70684339
DFSS2,6,,18,150,31.168,-49.606,-0.584,cb    ,1,0.844,4.040298801,29.44178019
DFSS2,6,,19,149 waterline,27.78,-52.309,-0.441,cb    ,1,0.987,8.370353589,33.77183498
DFSS2,6,,20,148 above wl,25.58,-54.763,-0.011,cb    ,0,1.417,11.59377282,36.99525421
DFSS2,6,,21,147 above wl,23.56,-57.61,0.092,cb    ,0,1.52,14.90327943,40.30476082
