Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS,5,DFSS_5,32,xs500,-28.439,-32.95,0.424,br    ,0,2.169,61.389,57.013
DFSS,5,DFSS_5,31,xs501,-27.215,-31.346,0.12,br    ,0,1.865,58.561,54.185
DFSS,5,DFSS_5,30,xs502,-27.005,-30.749,-0.191,br    ,0,1.554,57.754,53.378
DFSS,5,DFSS_5,29,xs503,-26.284,-29.227,-0.422,br    ,1,1.323,55.511,51.135
DFSS,5,DFSS_5,28,xs504,-26.167,-28.765,-1.494,br    ,1,0.251,54.932,50.556
DFSS,5,DFSS_5,27,xs505,-25.684,-27.574,-1.676,cw    ,1,0.0690000000000002,53.258,48.882
DFSS,5,DFSS_5,26,xs506,-24.787,-25.901,-1.745,br    ,1,0,50.688,46.312
DFSS,5,DFSS_5,25,xs507,-24.334,-23.867,-1.555,br    ,1,0.19,48.201,43.825
DFSS,5,DFSS_5,24,xs508,-23.802,-21.788,-1.609,br    ,1,0.136,45.59,41.214
DFSS,5,DFSS_5,23,xs509,-23.402,-19.607,-1.399,br    ,1,0.346,43.009,38.633
DFSS,5,DFSS_5,22,xs510,-22.915,-18.016,-1.502,br    ,1,0.243,40.931,36.555
DFSS,5,DFSS_5,21,xs511,-22.482,-16.749,-1.513,br    ,1,0.232,39.231,34.855
DFSS,5,DFSS_5,20,xs512,-22.252,-15.115,-1.432,br    ,1,0.313,37.367,32.991
DFSS,5,DFSS_5,19,xs513,-21.331,-12.846,-1.432,br    ,1,0.313,34.177,29.801
DFSS,5,DFSS_5,18,xs514,-20.478,-10.29,-1.523,br    ,1,0.222,30.768,26.392
DFSS,5,DFSS_5,17,xs515,-19.918,-8.395,-1.307,br    ,1,0.438,28.313,23.937
DFSS,5,DFSS_5,16,xs516,-19.357,-7.108,-1.185,cw    ,1,0.56,26.465,22.089
DFSS,5,DFSS_5,15,xs517,-18.581,-6.012,-0.962,br    ,1,0.783,24.593,20.217
DFSS,5,DFSS_5,14,xs518,-17.816,-4.132,-1.042,br    ,1,0.703,21.948,17.572
DFSS,5,DFSS_5,13,xs519,-17.179,-2.333,-0.698,br    ,1,1.047,19.512,15.136
DFSS,5,DFSS_5,12,xs520,-17.058,-1.083,-0.454,br    ,1,1.291,18.141,13.765
DFSS,5,DFSS_5,11,xs521,-16.758,-0.712,-0.281,br    ,0,1.464,17.47,13.094
DFSS,5,DFSS_5,10,xs522,-16.813,-0.528,-0.441,br    ,1,1.304,17.341,12.965
DFSS,5,DFSS_5,9,xs523,-16.655,0.088,-0.654,br    ,1,1.091,16.567,12.191
DFSS,5,DFSS_5,8,xs524,-16.242,1.015,-0.452,br    ,1,1.293,15.227,10.851
DFSS,5,DFSS_5,7,xs525,-16.179,1.303,-0.309,br    ,0,1.436,14.876,10.5
DFSS,5,DFSS_5,6,xs526,-16.186,1.465,-0.443,br    ,1,1.302,14.721,10.345
DFSS,5,DFSS_5,5,xs527,-16.214,1.799,-0.523,br    ,1,1.222,14.415,10.039
DFSS,5,DFSS_5,4,xs528,-16.074,2.249,-0.438,br    ,1,1.307,13.825,9.449
DFSS,5,DFSS_5,3,xs529,-16.024,2.265,-0.431,br    ,0,1.314,13.759,9.383
DFSS,5,DFSS_5,2,xs530,-14.718,5.881,-0.264,br    ,0,1.481,8.837,4.461
DFSS,5,DFSS_5,1,xs531,-13.716,9.34,0.083,br    ,0,1.828,4.376,0
