Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS2,5,,1,168above w,53.639,-31.16,-0.203,bd    ,0,1.104,-2.809606593,0
DFSS2,5,,2,169 waterline,53.442,-31.647,-0.437,bd    ,1,0.87,-2.293447128,0.516159465
DFSS2,5,,3,170 waterline,52.646,-32.556,-0.739,cb    ,1,0.568,-1.098329703,1.71127689
DFSS2,5,,4,171,52.108,-33.59,-0.71,bd    ,1,0.597,0.062350536,2.871957129
DFSS2,5,,5,172,50.861,-34.648,-0.559,bd    ,1,0.748,1.626757693,4.436364286
DFSS2,5,,6,173,49.373,-36.945,-0.916,bd    ,1,0.391,4.363594184,7.173200777
DFSS2,5,,7,174,48.245,-38.351,-1.05,bd    ,1,0.257,6.156311364,8.965917957
DFSS2,5,,8,175,47.824,-38.879,-0.802,bd    ,1,0.505,6.828129169,9.637735762
DFSS2,5,,9,176,46.423,-41.61,-0.896,bd    ,1,0.411,9.88291652,12.69252311
DFSS2,5,,10,177,45.761,-42.206,-0.719,bd    ,1,0.588,10.74229729,13.55190388
DFSS2,5,,11,178,43.518,-45.066,-0.79,bd    ,1,0.517,14.36106942,17.17067601
DFSS2,5,,12,179,42.556,-46.717,-0.723,bd    ,1,0.584,16.27004355,19.07965015
DFSS2,5,,13,180,41.381,-48.831,-0.742,bd    ,1,0.565,18.68364741,21.493254
DFSS2,5,,14,181,41.126,-49.83,-0.921,bd    ,1,0.386,19.66179886,22.47140545
DFSS2,5,,15,182,40.413,-50.973,-1.121,bd    ,1,0.186,21.00882153,23.81842812
DFSS2,5,,16,183,40.131,-51.65,-1.307,bd    ,1,0,21.73076172,24.54036831
DFSS2,5,,17,184,39.558,-52.71,-1.304,bd    ,1,0.003,22.93224284,25.74184943
DFSS2,5,,18,185,38.889,-54.11,-1.16,bd    ,1,0.147,24.47161236,27.28121895
DFSS2,5,,19,186,37.989,-55.392,-0.713,cb    ,1,0.594,26.03670043,28.84630702
DFSS2,5,,20,187 waterline,37.2,-56.911,-0.41,cb    ,1,0.897,27.74106996,30.55067656
DFSS2,5,,21,188 above wl,35.034,-59.578,0.137,cb    ,0,1.444,31.15586592,33.96547252
