Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS,1,DFSS_1,1,1,-29.882,8.539,-0.193,cob,0,0.635,-8.539,0
DFSS,1,DFSS_1,2,2,-31.119,6.559,0.369,,0,1.197,-6.559,1.98
DFSS,1,DFSS_1,3,3,-31.123,6.56,0.369,cob,0,1.197,-6.56,1.979
DFSS,1,DFSS_1,4,4,-31.933,5.656,-0.235,br,0,0.593,-5.656,2.883
DFSS,1,DFSS_1,5,5,-32.903,3.925,-0.198,br,0,0.63,-3.925,4.614
DFSS,1,DFSS_1,6,6,-34.015,2.75,-0.173,br,0,0.655,-2.75,5.789
DFSS,1,DFSS_1,7,7w,-35.139,2.014,-0.256,br,1,0.572,-2.014,6.525
DFSS,1,DFSS_1,8,8,-35.931,1.02,-0.178,br,1,0.65,-1.02,7.519
DFSS,1,DFSS_1,9,9,-36.715,-0.029,-0.344,br,1,0.484,0.029,8.568
DFSS,1,DFSS_1,10,10,-37.452,-1.17,-0.362,br,1,0.466,1.17,9.709
DFSS,1,DFSS_1,11,11,-38.37,-2.622,-0.53,br,1,0.298,2.622,11.161
DFSS,1,DFSS_1,12,12,-39.534,-3.559,-0.306,br,1,0.522,3.559,12.098
DFSS,1,DFSS_1,13,13,-41.068,-4.269,-0.295,br,1,0.533,4.269,12.808
DFSS,1,DFSS_1,14,14,-42.734,-5.13,-0.5,br,1,0.328,5.13,13.669
DFSS,1,DFSS_1,15,15,-43.936,-6.41,-0.554,br,1,0.274,6.41,14.949
DFSS,1,DFSS_1,16,16,-44.623,-8.277,-0.471,br,1,0.357,8.277,16.816
DFSS,1,DFSS_1,17,17,-45.137,-10.126,-0.48,br,1,0.348,10.126,18.665
DFSS,1,DFSS_1,18,18,-46.106,-12.211,-0.475,br,1,0.353,12.211,20.75
DFSS,1,DFSS_1,19,19,-47.303,-13.914,-0.555,br,1,0.273,13.914,22.453
DFSS,1,DFSS_1,20,20,-48.436,-14.961,-0.656,cob,1,0.172,14.961,23.5
DFSS,1,DFSS_1,21,21,-50.067,-16.008,-0.654,cob,1,0.174,16.008,24.547
DFSS,1,DFSS_1,22,22,-51.12,-17.255,-0.828,cob,1,0,17.255,25.794
DFSS,1,DFSS_1,23,23,-52.32,-19.049,-0.734,cob,1,0.094,19.049,27.588
DFSS,1,DFSS_1,24,24,-53.726,-20.729,-0.461,br,1,0.367,20.729,29.268
DFSS,1,DFSS_1,25,25,-55.369,-23.16,-0.438,br,1,0.39,23.16,31.699
DFSS,1,DFSS_1,26,26,-56.603,-24.986,-0.417,br,1,0.411,24.986,33.525
DFSS,1,DFSS_1,27,27w,-58.187,-26.702,-0.217,br,1,0.611,26.702,35.241
DFSS,1,DFSS_1,28,28,-60.127,-29.325,0.065,br,0,0.893,29.325,37.864
DFSS,1,DFSS_1,29,29,-61.761,-32.499,0.1,br,0,0.928,32.499,41.038
